Date,Close,Open,High,Low,Volume,Change
26/05/2022,32638.44,32263.33,32773.26,32263.33,33895000000,0.02
25/05/2022,32121.53,31816.31,32254.29,31754.33,33313000000,0.01
24/05/2022,31931.06,31717.61,32014.86,31367.33,37385000000,0.00
23/05/2022,31880.64,31497.56,31968.42,31484.02,38926000000,0.02
20/05/2022,31260.58,31426.94,31514.07,30635.76,47903000000,0.00
19/05/2022,31253.26,31262.62,31567.57,31018.06,50376000000,-0.01
18/05/2022,31493.56,32468.67,32468.67,31394.68,44396000000,-0.04
17/05/2022,32655.05,32609.54,32687.62,32310.2,37608000000,0.01
16/05/2022,32224.01,32152.15,32513.25,31932.06,31586000000,0.00
13/05/2022,32195.94,31976.4,32275.82,31862.79,37410000000,0.01
12/5/2022,31730.04,31699.04,31907.7,31231.27,52590000000,0.00
11/5/2022,31834.37,32123.24,32584.02,31799.54,43375000000,-0.01
10/5/2022,32160.74,32504.09,32752.17,31887.89,44067000000,0.00
9/5/2022,32245.7,32685.17,32685.17,32121.98,47511000000,-0.02
6/5/2022,32899.37,32773.88,33055.84,32474.69,41814000000,0.00
5/5/2022,32997.97,33854.17,33854.17,32685.1,44842000000,-0.03
4/5/2022,34061.06,33171.8,34117.74,33021.84,41237000000,0.03
3/5/2022,33128.79,33086.09,33341.58,32914.75,36442000000,0.00
2/5/2022,33061.5,32978.49,33224.95,32449.87,45339000000,0.00
29/04/2022,32977.21,33787.01,33919.59,32913.15,50156000000,-0.03
28/04/2022,33916.39,33425.96,34054.79,33248.46,45160000000,0.02
27/04/2022,33301.93,33450.92,33697.18,33108.89,45629000000,0.00
26/04/2022,33240.18,33907.49,33909.51,33230.95,40370000000,-0.02
25/04/2022,34049.46,33731.65,34106.01,33323.37,41800000000,0.01
22/04/2022,33811.4,34727.38,34727.38,33773.39,37328000000,-0.03
21/04/2022,34792.76,35258.8,35492.22,34723.82,37192000000,-0.01
20/04/2022,35160.79,34962.67,35315.4,34962.67,33874000000,0.01
19/04/2022,34911.2,34394.62,34983.11,34394.62,30344000000,0.01
18/04/2022,34411.69,34411.49,34618.29,34279.08,26882000000,0.00
14/04/2022,34451.23,34628.46,34889.17,34437.5,35368000000,0.00
13/04/2022,34564.59,34166.64,34598.36,34140.64,31363000000,0.01
12/4/2022,34220.36,34412.51,34669.97,34102.81,33351000000,0.00
11/4/2022,34308.08,34630.27,34701.34,34272.29,33663000000,-0.01
8/4/2022,34721.12,34569.24,34908.46,34470.19,30619000000,0.00
7/4/2022,34583.57,34439.24,34705.83,34190.95,32481000000,0.00
6/4/2022,34496.51,34520.34,34609.84,34277.17,38625000000,0.00
5/4/2022,34641.18,34876.33,35112.21,34566.04,30898000000,-0.01
4/4/2022,34921.88,34799.98,34940.78,34615.38,31756000000,0.00
1/4/2022,34818.27,34740.89,34847.91,34538.25,34681000000,0.00
31/03/2022,34678.35,35201.52,35201.52,34677.99,43836000000,-0.02
30/03/2022,35228.81,35273.63,35361.36,35058.58,32467000000,0.00
29/03/2022,35294.19,35114.35,35372.26,35030.07,35505000000,0.01
28/03/2022,34955.89,34833.03,34957.93,34552.23,30286000000,0.00
25/03/2022,34861.24,34702.39,34942.7,34631.52,28707000000,0.00
24/03/2022,34707.94,34406.81,34713.56,34355.42,32487000000,0.01
23/03/2022,34358.5,34748.84,34748.84,34352.96,34959000000,-0.01
22/03/2022,34807.46,34583.24,34882.03,34583.24,36855000000,0.01
21/03/2022,34552.99,34669.85,34808.28,34341.81,40849000000,-0.01
18/03/2022,34754.93,34466.72,34755.2,34279.83,62789000000,0.01
17/03/2022,34480.76,33995.39,34483.92,33896.06,33947000000,0.01
16/03/2022,34063.1,33653.93,34075.94,33391.24,43018000000,0.02
15/03/2022,33544.34,32989.27,33620.84,32989.27,39482000000,0.02
14/03/2022,32945.24,33000.37,33395.59,32818.16,40115000000,0.00
11/3/2022,32944.19,33279.72,33515.61,32911.89,36948000000,-0.01
10/3/2022,33174.07,33106.77,33236.59,32819.76,39948000000,0.00
9/3/2022,33286.25,32860.42,33457.28,32860.42,42155000000,0.02
8/3/2022,32632.64,32885.17,33402.98,32578.73,55375000000,-0.01
7/3/2022,32817.38,33579.75,33579.75,32806.15,49367000000,-0.02
4/3/2022,33614.8,33655.43,33655.43,33254.12,41293000000,-0.01
3/3/2022,33794.66,33972.87,34179.07,33641.53,36987000000,0.00
2/3/2022,33891.35,33379.51,34013.67,33379.51,40281000000,0.02
1/3/2022,33294.95,33813.48,33870.14,33107.67,44231000000,-0.02
28/02/2022,33892.6,33870.62,33963.63,33469.31,45181000000,0.00
25/02/2022,34058.75,33277.22,34095.74,33277.22,42117000000,0.03
24/02/2022,33223.83,32830.33,33269.34,32272.64,59319000000,0.00
23/02/2022,33131.76,33680.97,33832.59,33084.9,37649000000,-0.01
22/02/2022,33596.61,33974.09,34024.74,33364.29,43832000000,-0.01
18/02/2022,34079.18,34310.45,34423.58,33976.18,41408000000,-0.01
17/02/2022,34312.03,34858.47,34858.47,34246.23,35185000000,-0.02
16/02/2022,34934.27,34951.83,35042.09,34642.64,30936000000,0.00
15/02/2022,34988.84,34686.19,35047.79,34686.19,30567000000,0.01
14/02/2022,34566.17,34694.5,34744.56,34304.28,37341000000,0.00
11/2/2022,34738.06,35267.89,35431.15,34620.52,41040000000,-0.01
10/2/2022,35241.59,35630.81,35800.24,35100.72,41671000000,-0.01
9/2/2022,35768.06,35614.9,35824.28,35614.9,33961000000,0.01
8/2/2022,35462.78,35160.68,35544.89,35090.42,33394000000,0.01
7/2/2022,35091.13,35108.38,35325.01,34993.98,32891000000,0.00
4/2/2022,35089.74,35095.74,35333.55,34799.08,34988000000,0.00
3/2/2022,35111.16,35520.08,35535.94,35071.06,39018000000,-0.01
2/2/2022,35629.33,35378.19,35679.2,35290.12,36406000000,0.01
1/2/2022,35405.24,35151.47,35441.09,34977.95,39490000000,0.01
31/01/2022,35131.86,34691.17,35148.14,34496.1,47444000000,0.01
28/01/2022,34725.47,34135.24,34731.77,33807.51,56844000000,0.02
27/01/2022,34160.78,34261.75,34773.32,34007.78,52778000000,0.00
26/01/2022,34168.09,34520.82,34815.67,33876.48,54931000000,0.00
25/01/2022,34297.73,34186.64,34591.04,33545.52,52219000000,0.00
24/01/2022,34364.5,34070.61,34420.99,33150.33,67812000000,0.00
21/01/2022,34265.37,34701.69,34896.67,34229.55,52388000000,-0.01
20/01/2022,34715.39,35102.66,35490.2,34670.12,36907000000,-0.01
19/01/2022,35028.65,35412.3,35547.83,35015.49,39308000000,-0.01
18/01/2022,35368.47,35661.76,35661.76,35262.02,42726000000,-0.02
14/01/2022,35911.81,35996.43,35996.43,35641.49,39647000000,-0.01
13/01/2022,36113.62,36312.49,36513.88,36044.22,34974000000,0.00
12/1/2022,36290.32,36336.16,36453.49,36168.15,31786000000,0.00
11/1/2022,36252.02,36058.85,36271.47,35769.38,36319000000,0.01
10/1/2022,36068.87,36175.21,36175.21,35639.91,44030000000,0.00
7/1/2022,36231.66,36249.59,36382.84,36111.53,36142000000,0.00
6/1/2022,36236.47,36409.05,36464.19,36200.68,39019000000,0.00
5/1/2022,36407.11,36722.6,36952.65,36400.39,46846000000,-0.01
4/1/2022,36799.65,36636,36934.84,36636,43508000000,0.01
3/1/2022,36585.06,36321.59,36595.82,36246.45,34793000000,0.01
31/12/2021,36338.3,36385.85,36484.94,36303.97,21821000000,0.00
30/12/2021,36398.08,36522.48,36679.44,36372.13,20764000000,0.00
29/12/2021,36488.63,36421.14,36571.55,36396.19,21440000000,0.00
28/12/2021,36398.21,36302.99,36527.26,36302.99,23909000000,0.00
27/12/2021,36302.38,35954.48,36306.61,35954.48,25026000000,0.01
23/12/2021,35950.56,35782.42,36060.99,35782.42,25094000000,0.01
22/12/2021,35753.89,35491.71,35764.67,35433.13,29073000000,0.01
21/12/2021,35492.7,35069.5,35508.96,35069.5,34967000000,0.02
20/12/2021,34932.16,35222.12,35222.12,34665.5,38889000000,-0.01
17/12/2021,35365.44,35800.11,35800.11,35284.26,76083000000,-0.01
16/12/2021,35897.64,36036.28,36189.83,35778.21,48277000000,0.00
15/12/2021,35927.43,35549.35,35943.84,35389.3,43238000000,0.01
14/12/2021,35544.18,35605.73,35779.47,35441.74,45123000000,0.00
13/12/2021,35650.95,35958.93,35958.93,35609.53,45159000000,-0.01
10/12/2021,35970.99,35830.55,35982.69,35710.43,36120000000,0.01
9/12/2021,35754.69,35722.26,35864.24,35577.14,35302000000,0.00
8/12/2021,35754.75,35716.85,35840.52,35602.65,38765000000,0.00
7/12/2021,35719.43,35423.99,35819.47,35423.99,48289000000,0.01
6/12/2021,35227.03,34633.43,35356.75,34633.43,41875000000,0.02
3/12/2021,34580.08,34692.78,34801.31,34264.57,44485000000,0.00
2/12/2021,34639.79,34076.25,34759.65,34076.25,47058000000,0.02
1/12/2021,34022.04,34678.94,35004.64,34006.98,49838000000,-0.01
30/11/2021,34483.72,35056.99,35056.99,34424.44,67880000000,-0.02
29/11/2021,35135.94,35017.71,35287.91,34895.89,41604000000,0.01
26/11/2021,34899.34,35366.69,35366.69,34749.8,32539000000,-0.03
24/11/2021,35804.38,35752.31,35825.47,35591.03,28794000000,0.00
23/11/2021,35813.8,35619.92,35841.52,35542.87,39252000000,0.01
22/11/2021,35619.25,35631.41,35929.66,35615.55,42081000000,0.00
19/11/2021,35601.98,35879.09,35879.09,35555.37,41465000000,-0.01
18/11/2021,35870.95,35901.69,35952.63,35654.39,43508000000,0.00
17/11/2021,35931.05,36159.7,36159.7,35909.48,35831000000,-0.01
16/11/2021,36142.22,36076.18,36316.61,36076.18,31190000000,0.00
15/11/2021,36087.45,36128.83,36236.07,36031.78,28066000000,0.00
12/11/2021,36100.31,35963.78,36147.63,35934.59,29318000000,0.01
11/11/2021,35921.23,36038.78,36108.17,35915.27,27032000000,0.00
10/11/2021,36079.94,36299.25,36346.61,36009.5,28352000000,-0.01
9/11/2021,36319.98,36404.53,36416.98,36173.07,25802000000,0.00
8/11/2021,36432.22,36416.46,36565.73,36334.42,28840000000,0.00
5/11/2021,36327.95,36268.75,36484.75,36190.2,34460000000,0.01
4/11/2021,36124.23,36107.46,36168.03,35986.48,30999000000,0.00
3/11/2021,36157.58,36059.09,36178.51,35891.73,26254000000,0.00
2/11/2021,36052.63,35935.11,36088.81,35884.13,30451000000,0.00
1/11/2021,35913.84,35833.65,36009.74,35797.97,29548000000,0.00
29/10/2021,35819.56,35712.28,35852.53,35633.2,40799000000,0.00
28/10/2021,35730.48,35545.41,35742.25,35545.41,34843000000,0.01
27/10/2021,35490.69,35835.43,35835.43,35490.43,35808000000,-0.01
26/10/2021,35756.88,35791.05,35892.92,35734.73,32191000000,0.00
25/10/2021,35741.15,35692.62,35787.04,35629.37,27041000000,0.00
22/10/2021,35677.02,35607.72,35765.02,35533.95,34908000000,0.00
